objectid,parentid,title,creator,date,era,description,subject,publisher,source,relation,hasVersion,type,format,extent,language,rights,license,isPartOf,isReferencedBy,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
abb11092,,"Anonym, Medaillon der Wibrandis Rosenblatt, 16. Jahrhundert",Anonym,16XX,Neuzeit,"Die junge Witwe Wibrandis Rosenblatt heiratete 1528 Johannes Oekolampad. Mit dieser Priesterehe setzten die beiden ein Zeichen für die Reformation. Nach Oekolampads frühem Tod zog Rosenblatt nach Strassburg und heiratete 1531 Wolfgang Capito und, nachdem auch dieser verstorben war, 1542 Martin Bucer. Als Frau dreier bedeutender Stadtreformatoren wurde Rosenblatt zum Inbegriff der neuen evangelischen Pfarrfrau.",Ehe; Frauen; Kirche,Privatbesitz,,,,http://purl.org/dc/dcmitype/Image,image/tiff,1799x1904,,"Maurice Babey
Privatbesitz, Foto HMB, Maurice Babey",,4,9,record,,,,,
abb11135,,Konfessionelle Verhältnisse in der Region Basel im 16. und 17. Jahrhundert,,,Neuzeit,Durch die Reformation löste sich die Einheit der christlichen Kirche auf. Neben politischen prägten von nun an auch konfessionelle Grenzen die Region um Basel.,Religion; Christentum,"Salvisberg, André u. a.; Christoph Merian Verlag (Hg.): Historischer Atlas der Region Basel. Geschichte der Grenzen, Basel 2010, S. 57",,https://basel.swisscovery.org/permalink/41SLSP_UBS/mmbbsj/alma9952406650105504,,http://purl.org/dc/dcmitype/Image,application/pdf,1665x1683 / 994x425,,"CC BY-SA 4.0, Camillo Kohli, Kohli Kartografie
Quelle: Salvisberg 2010, S. 57; Kohli Kartografie.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,4,10,compound_object,,,,,
abb11135_0,abb11135,,,,Neuzeit,Durch die Reformation löste sich die Einheit der christlichen Kirche auf. Neben politischen prägten von nun an auch konfessionelle Grenzen die Region um Basel.,Religion; Christentum,"Salvisberg, André u. a.; Christoph Merian Verlag (Hg.): Historischer Atlas der Region Basel. Geschichte der Grenzen, Basel 2010, S. 57",,https://basel.swisscovery.org/permalink/41SLSP_UBS/mmbbsj/alma9952406650105504,,http://purl.org/dc/dcmitype/Image,application/pdf,1665x1683 / 994x425,,"CC BY-SA 4.0, Camillo Kohli, Kohli Kartografie
Quelle: Salvisberg 2010, S. 57; Kohli Kartografie.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,4,10,pdf,https://omeka.unibe.ch/files/original/8cd2ca3745e05ca3f3b4f82f5bb55f2861e97ac6.pdf,,,,
abb11135_1,abb11135,,,,Neuzeit,Durch die Reformation löste sich die Einheit der christlichen Kirche auf. Neben politischen prägten von nun an auch konfessionelle Grenzen die Region um Basel.,Religion; Christentum,"Salvisberg, André u. a.; Christoph Merian Verlag (Hg.): Historischer Atlas der Region Basel. Geschichte der Grenzen, Basel 2010, S. 57",,https://basel.swisscovery.org/permalink/41SLSP_UBS/mmbbsj/alma9952406650105504,,http://purl.org/dc/dcmitype/Image,application/pdf,1665x1683 / 994x425,,"CC BY-SA 4.0, Camillo Kohli, Kohli Kartografie
Quelle: Salvisberg 2010, S. 57; Kohli Kartografie.
Bearbeitung: Nico Görlich / Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,4,10,pdf,https://omeka.unibe.ch/files/original/7be329abb8139897bc0be3d46c9aec8c322ae7c5.pdf,,,,
abb24548,,"Andreas Ryff, ‹Münz- und Mineralienbuch›, ca. 1594–1600",Andreas Ryff Q370777,1594/1599,Neuzeit,"Die doppelseitige Federzeichnung aus einem Manuskript des Basler Kaufmanns, Ratsherrn und städtischen Silberführers Andreas Ryff zeigt eine Bergwerkslandschaft, flankiert von Fortuna, die auf einer Kugel im stürmischen Meer balanciert. Nur eine Säule in der Bildmitte trennt die Schicksalsgöttin und das Meer vom emsigen Treiben in den Bergwerken und Produktionsstätten. Neben Ryffs Engagement im Bergbau sowie im Seiden- und Tuchgeschäft trug er auch eine ansehnliche Sammlung an Mineralien, Goldschmiedearbeiten und Münzen zusammen. Dieser Sammlung widmete er das mit zahlreichen Federzeichnungen illustrierte ‹Münz- und Mineralienbuch›. Es ist zugleich ein Zeugnis lokaler Wirtschaftspraktiken, Objekt bürgerlicher Repräsentation und Inszenierung einer politischen und religiösen Weltordnung.",Kunst; Wirtschaft; Religion; Politik,Universitätsbibliothek Basel,"UBH A lambda II 46a, fol. Fv, Gr",https://www.e-manuscripta.ch/bau/content/zoom/767380,,http://purl.org/dc/dcmitype/Image,image/tiff,11232x7487,,"Public Domain Mark
UB Basel, UBH A lambda II 46a, fol. Fv20,
Gr21",https://creativecommons.org/publicdomain/mark/1.0/,4,11,image,,https://omeka.unibe.ch/files/large/e310f08e35b8129691bdf8e4b366f7be3bc5a346.jpg,https://omeka.unibe.ch/files/large/e310f08e35b8129691bdf8e4b366f7be3bc5a346.jpg,,
abb11378,,"Christoph Murer, Leonhard Thurneisser bei der Harnprobe an einem orientalischen Hof, Detail aus einem Scheiben-Zyklus, 1579 (?)",Christoph Murer Q1085550,1579,Neuzeit,"Der Basler Goldschmied Leonhard Thurneisser (1531–1596), hier mit einer Harnprobe in der Hand, führte ein abenteuerliches Leben: Er nahm an Kriegszügen des Markgrafen von Brandenburg-Kulmbach teil, machte als Bergwerksbesitzer, Metallurg und Alchemist in Tirol Karriere und unternahm ausgedehnte Reisen, die ihn angeblich bis nach Ägypten und auf den Sinai führten. 1571 wurde er Leibarzt am brandenburgischen Hof in Berlin, wo er mit Ferndiagnosen zu Harnproben und astrologischen Gutachten ein Vermögen verdiente. Im Bild hält er prüfend das Harnglas in der Hand.",Medizin; Gesellschaft; Krieg,Historisches Museum Basel,HMB Inv. 1887.215,nicht im Online-Katalog verzeichnet,,http://purl.org/dc/dcmitype/Image,image/tiff,7260x5439,,"CC BY-SA 4.0, Natascha Jansen
HMB, Inv. 1887.215, Foto Natascha Jansen",https://creativecommons.org/licenses/by-sa/4.0/,4,12,image,,https://omeka.unibe.ch/files/large/4fe76fb85f7cb2aa3363e437f4be03fb3c7a27d5.jpg,https://omeka.unibe.ch/files/large/4fe76fb85f7cb2aa3363e437f4be03fb3c7a27d5.jpg,,
abb11536,,"Anonym/Hans Bock, Martinsstatue am Basler Münster, 14. Jahrhundert/1590er-Jahre","Anonym, Hans Bock",159X,Neuzeit,"An der Fassade des Basler Münsters blickt Martin von Tours seit den 1590er-Jahren auf einen Baumstrunk statt auf den ihm zu Füssen knienden Bettler, mit dem er der Legende nach seinen Mantel teilte. Vor der Reformation hatten ihn die Basler Gläubigen als Sinnbild gelebter Barmherzigkeit angerufen und verehrt. Eine solche Heiligenverehrung widersprach aus Sicht der Reformatoren allerdings den biblischen Vorgaben. Nach einer längeren Auseinandersetzung beschlossen Geistliche und Rat deshalb, den Bettler als Attribut des Heiligen zu entfernen.",Kirche; Architektur,Denkmalpflege Basel-Stadt,Stiftung Basler Münsterbauhütte,,,http://purl.org/dc/dcmitype/Image,image/jpeg,2048x1536,,"In Copyright, Peter Schulthess
Kantonale Denkmalpflege Basel-Stadt und
Stiftung Basler Münsterbauhütte, Foto Peter
Schulthess",https://rightsstatements.org/page/InC/1.0/,4,13,record,,,,,
abb11639,,"Jacques Granthomme, Porträt von Johann Jakob Grynaeus, um 1600",Jacques Granthomme Q21570201,1600~,Neuzeit,Antistes Grynaeus prägte die Basler Kirchengeschichte nach der Reformation. Unter seiner Führung setzte sich die reformierte Orthodoxie durch und die Basler Kirche näherte sich den Kirchen in der reformierten Eidgenossenschaft an.,Kirche; Religion; Christentum,Universitätsbibliothek Basel,"UBH Portr BS Grynaeus JJ 1540, 3b. UBH, UBH Portr BS Grynaeus JJ 1540, 3a. UBH",https://ub-portraets.ub.unibas.ch/de/detail/portraets_9945027570105504,https://ub-test-iiifpresentation.ub.unibas.ch/portraets/9945027570105504/manifest/,http://purl.org/dc/dcmitype/Image,image/tiff,3118x4701,,"Public Domain Mark
UB Basel, UBH Portr BS Grynaeus JJ 1540,
3b",https://creativecommons.org/publicdomain/mark/1.0/,4,14,image,,https://omeka.unibe.ch/files/large/d5d8da12bd405b5117478ee0afa029afb50f5585.jpg,https://omeka.unibe.ch/files/large/d5d8da12bd405b5117478ee0afa029afb50f5585.jpg,,
abb12105,,"Hans Bock d. Ä., Ratsherr Melchior Hornlocher, 1577",Hans Bock d. Ä. Q693916,1577,Neuzeit,Das Ehepaar Hornlocher/Aeder gehörte zur selbstbewussten politischen Führungsschicht Basels.,Stadt; Hierarchie; Ehe,Kunstmuseum Basel,KMB Inv. 80,https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=1061&viewType=detailView,,http://purl.org/dc/dcmitype/Image,image/jpeg,5025x6116,,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 80",https://creativecommons.org/publicdomain/mark/1.0/,4,15,image,,https://omeka.unibe.ch/files/large/12fdf529556f97f5fb41c481ad88e6da3a577fb5.jpg,https://omeka.unibe.ch/files/large/12fdf529556f97f5fb41c481ad88e6da3a577fb5.jpg,,
abb12266,,"Hans Bock d. Ä., Katharina Aeder, 1577",Hans Bock d. Ä. Q693916,1577,Neuzeit,Das Ehepaar Hornlocher/Aeder gehörte zur selbstbewussten politischen Führungsschicht Basels.,Frauen; Hierarchie; Stadt; Ehe,Kunstmuseum Basel,KMB Inv. 81,https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=1062&viewType=detailView,,http://purl.org/dc/dcmitype/Image,image/jpeg,5003x6103,,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 81",https://creativecommons.org/publicdomain/mark/1.0/,4,16,image,,https://omeka.unibe.ch/files/large/6422869e84bb7e34e7af2157fdc4f4b019cc054b.jpg,https://omeka.unibe.ch/files/large/6422869e84bb7e34e7af2157fdc4f4b019cc054b.jpg,,
abb12517,,"Hieronymus Vischer (zugeschrieben), Wappenscheibe von Onophrion Merian und Hans Jakob Stähelin im Schützenhaus, ca.1611",Hans Bock d. Ä. Q693916,1611~,Neuzeit,"Die Wappen und der Text der Wappenscheibe verweisen auf die beiden Stifter, die das ‹Grosse Gesellenschiessen› von 1605 organisiert hatten. Die Oberbilder setzen das Schützenfest selbst in Szene. Vor den Toren Basels wurde damals eine Zeltstadt aufgebaut, in der die aus den Nachbargebieten nach Basel kommenden Schützen übernachteten.",Stadt; Kultur,"Gesellschaft der Feuerschützen, Basel",Schützenhaus Basel,,,http://purl.org/dc/dcmitype/Image,image/tiff,5279x5427,,"In Copyright
Gesellschaft der Feuerschützen, Basel",https://rightsstatements.org/page/InC/1.0/,4,17,record,,,,,
abb12777,,"Häuptergestühl im Münster, 1598","Hans Walter Q1582952, Conrad Giger Q1126807, Franz Pergo Q1448493",1598,Neuzeit,"Das Häuptergestühl wurde 1598 von Hans Walter, Conrad Giger und Franz Pergo für die reformierte Basler Regierung im Münster neu geschaffen. Durch seine massive Ausstattung und seine zentrale Position innerhalb des Kirchenraums markierte es die Führungsrolle des Kleinen Rates. Wie die Renovation der Münsterfassade sorgte auch die pompöse Gestaltung des Gestühls für eine Kontroverse zwischen Rat und Geistlichkeit.",Kirche,Historisches Museum Basel,HMB 1914.626,https://www.hmb.ch/museen/sammlungsobjekte/einzelansicht/s/haeuptergestuehl-aus-dem-basler-muenster/,,http://purl.org/dc/dcmitype/Image,image/tiff,3411x4359,,"CC BY-SA 4.0, Peter Portner
HMB, Inv. 1914.626, Foto Peter Portner",https://creativecommons.org/licenses/by-sa/4.0/,4,18,image,,https://omeka.unibe.ch/files/large/cb321a45d3fef4942a9e53aed273148bec5c04e7.jpg,https://omeka.unibe.ch/files/large/cb321a45d3fef4942a9e53aed273148bec5c04e7.jpg,,
abb12965,,"Caspar Bauhin, Kartoffelpflanze, Auszug aus seinem Herbarium, um 1600",Caspar Bauhin Q1692847,1600~,Neuzeit,"Unter naturwissenschaftlich interessierten Gelehrten war das Sammeln und Trocknen von Pflanzen im 17. Jahrhundert eine weit verbreitete Praxis. Die ersten Herbarien in Basel stammten von Felix Platter und Caspar Bauhin. Beide legten selbst Gärten an, unternahmen Exkursionen in die nähere und weitere Umgebung und nutzten ihre gelehrten Netzwerke, um sich Pflanzen aus ganz Europa und Übersee zu besorgen. Die Kartoffelpflanze, bei der es sich um den vermutlich ältesten erhaltenen Beleg handelt, hatte Bauhin in seinem eigenen Garten angepflanzt.",Wissenschaft; Medizin,"Herbarien Basel, Botanisches Institut der Uni Basel","Herbaria Basel, Herbarium Caspar Bauhin, Solanum tuberosum esculentum B15-075.1.",Nicht im Online-Katalog verzeichnet,,http://purl.org/dc/dcmitype/Image,image/tiff,7360x4912,,"CC BY-SA 4.0
UB Basel, Herbaria Basel, Herbarium Caspar
Bauhin, Solanum tuberosum esculentum B15-075.1.",https://creativecommons.org/licenses/by/4.0/,4,19,image,,https://omeka.unibe.ch/files/large/46d8e1b17c5af06b5c899453576c1729d815beed.jpg,https://omeka.unibe.ch/files/large/46d8e1b17c5af06b5c899453576c1729d815beed.jpg,,
abb12968,,"Wappenscheibe der Medizinprofessoren der Universität Basel (Detail), 1613",,1613,Neuzeit,"Die von vier Basler Medizinprofessoren gestiftete Scheibe setzt das neue pharmazeutische Interesse der Mediziner ins Bild. Im Hintergrund ist ein botanischer Garten zu sehen, wie ihn Caspar Bauhin 1589 bei der ‹Alten Universität› am Rheinsprung eingerichtet hatte. Im Vordergrund pflegen Frauen Pflanzen und sortieren Kräuter. Ein Gehilfe der im Bildzentrum abgebildeten Mediziner arbeitet an einem Destillierofen zur Herstellung von Kräuterdestillaten.",Medizin,Historisches Museum Basel,HMB 2019.357,Nicht im Online-Katalog verzeichnet,,http://purl.org/dc/dcmitype/Image,image/tiff,5484x7320,,"CC BY-SA 4.0, Natascha Jansen
HMB, Inv. 2019.357, Foto Natascha Jansen",https://creativecommons.org/licenses/by-sa/4.0/,4,20,image,,https://omeka.unibe.ch/files/large/80966ce1ec9821d1b29e0f02d62038d586d13f0d.jpg,https://omeka.unibe.ch/files/large/80966ce1ec9821d1b29e0f02d62038d586d13f0d.jpg,,
abb13025,,"Hans Bock d. Ä., ‹Bad zu Leuk›, 1597",Hans Bock d. Ä. Q693916,1597,Neuzeit,"Das Genrebild von Hans Bock zeigt eine Gruppe von Menschen, die ein Bad nehmen, ein beliebter Zeitvertreib im 16. Jahrhundert. Neben den hygienischen Vorteilen bot das Bad auch Gelegenheit zur Erholung und Geselligkeit. Für die Posen seiner Figuren verwendete Bock Vorbilder aus anderen Werken. So war die am Beckenrand sitzende Frau bereits in seinem Venustanz zu sehen. Der Stil des Gemäldes erinnert an Lucas Cranachs Jungbrunnen, der den mittelalterlichen Glauben widerspiegelt, dass bestimmte Bäder heilen oder verjüngen können. Es ist zu erwähnen, dass beide Gemälde die Geschlechternormen der Zeit widerspiegeln. Darüber hinaus wurden Frauen im 16. Jahrhundert oft objektiviert und als kindlich und unschuldig stereotypisiert, was sich in der Darstellung junger, unverhüllter Körper in der Kunst widerspiegelt. Daher ist es wichtig, dieses Gemälde in seinem historischen Kontext zu betrachten.",Kunst; Sexismus; Sexuelle Belästigung; Gesellschaft; Körper; Intimität; Erotik,Kunstmuseum Basel,KMB Inv. 87,https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=1067&viewType=detailView,,http://purl.org/dc/dcmitype/Image,image/jpeg,6676x4704,,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 87",https://creativecommons.org/publicdomain/mark/1.0/,4,21,image,,https://omeka.unibe.ch/files/large/2d4ed362ccf54001657150b2cae21d867a47e4c3.jpg,https://omeka.unibe.ch/files/large/2d4ed362ccf54001657150b2cae21d867a47e4c3.jpg,,
